2022-05-27 16:54:57.605343	https://www.encodeproject.org/report/?type=Experiment&status=released&internal_tags=RushAD&limit=all
ID	Accession	Assay name	Assay title	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR194LMK/	ENCSR194LMK	ChIP-seq	Histone ChIP-seq	/targets/H3K4me3-human/	H3K4me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens with Cognitive impairment; middle frontal area 46 tissue female adult (81 years)	middle frontal area 46	GEO:GSE187307	H3K4me3 ChIP-seq on middle frontal area 46 tissue female adult (81 years) with Cognitive impairment	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF358ZMD/,/files/ENCFF419HPR/,/files/ENCFF272SNO/,/files/ENCFF696MNK/,/files/ENCFF979IQF/,/files/ENCFF783DCF/,/files/ENCFF617MSN/,/files/ENCFF801BIA/,/files/ENCFF357KUO/,/files/ENCFF403GEI/,/files/ENCFF419XND/,/files/ENCFF774BBN/,/files/ENCFF273GQK/,/files/ENCFF271YGQ/	/disease-series/ENCSR059IQI/	ENCBS460QXN	1	1,2	ENCAB140BWE	Homo sapiens	adult	81 years												/replicates/a8345554-aee9-4d71-9fc0-c34a930d3c69/,/replicates/5232c876-5cf5-4718-816a-a84fc8195588/				
/experiments/ENCSR181OHF/	ENCSR181OHF	ChIP-seq	Histone ChIP-seq	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (90 or above years)	middle frontal area 46	GEO:GSE187233	H3K27ac ChIP-seq on middle frontal area 46 tissue female adult (90 or above years) with Alzheimer's disease.	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF051FMA/,/files/ENCFF641XOU/,/files/ENCFF170MHZ/,/files/ENCFF877QUU/,/files/ENCFF395OOA/,/files/ENCFF529BXN/,/files/ENCFF238GLE/,/files/ENCFF045IUR/,/files/ENCFF307QYO/,/files/ENCFF134JMX/,/files/ENCFF838MCR/,/files/ENCFF090LHX/,/files/ENCFF798XFR/,/files/ENCFF573QTK/		ENCBS788LTG	1	1,2	ENCAB101KHB	Homo sapiens	adult	90 or above years												/replicates/a71228fb-bf88-407f-8d88-dbcf91e9a4e3/,/replicates/5bb31b44-65aa-4207-a3c6-01e7a35ae1ba/				
/experiments/ENCSR705DNM/	ENCSR705DNM	ChIP-seq	TF ChIP-seq	/targets/CTCF-human/	CTCF	CTCF	Homo sapiens middle frontal area 46 tissue female adult (90 or above years)	middle frontal area 46		CTCF ChIP-seq on middle frontal area 46 tissue female adult (90 or above years)	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF045VTQ/,/files/ENCFF119RPB/,/files/ENCFF311ANX/,/files/ENCFF083GZK/,/files/ENCFF712VNU/,/files/ENCFF262WTB/,/files/ENCFF221PZN/,/files/ENCFF891YCE/,/files/ENCFF506OJS/,/files/ENCFF291TEI/,/files/ENCFF161XMB/,/files/ENCFF592DUT/,/files/ENCFF835BZY/,/files/ENCFF527TAA/,/files/ENCFF812JWS/	/disease-series/ENCSR295TBA/	ENCBS227KZL,ENCBS630ZNN	1,2	2,1	ENCAB719MQZ	Homo sapiens	adult	90 or above years												/replicates/c7849b22-4f8d-4cd6-8ef8-b4d4e17b188a/,/replicates/5233eab6-f403-4ceb-9277-41c2acb4a90c/,/replicates/f55ecb07-4186-47d3-a277-06c0d7ad906c/,/replicates/02a11197-b96b-4b8e-a061-0b3ba96a74fe/				
/experiments/ENCSR805RJA/	ENCSR805RJA	DNase-seq	DNase-seq				Homo sapiens middle frontal area 46 tissue female adult (90 or above years)	middle frontal area 46	GEO:GSE188023		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF204APE/,/files/ENCFF712NWT/,/files/ENCFF012FNT/,/files/ENCFF285JJE/,/files/ENCFF258FEY/,/files/ENCFF498PAW/,/files/ENCFF622QMI/,/files/ENCFF548JPK/,/files/ENCFF592WQK/,/files/ENCFF097XWV/,/files/ENCFF712KXT/,/files/ENCFF516XPP/,/files/ENCFF120BYB/,/files/ENCFF778FIT/,/files/ENCFF253JSL/,/files/ENCFF083WCM/		ENCBS234JZB	1	1		Homo sapiens	adult	90 or above years												/replicates/7c854be7-9ea0-4483-baf9-80b390e713b4/				
/experiments/ENCSR329FAP/	ENCSR329FAP	DNase-seq	DNase-seq				Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (89 years)	middle frontal area 46	GEO:GSE170390		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF963OOW/,/files/ENCFF574UTY/,/files/ENCFF558JZG/,/files/ENCFF944ZTB/,/files/ENCFF771YBO/,/files/ENCFF883QSX/,/files/ENCFF003TLE/,/files/ENCFF854XEO/,/files/ENCFF535BWK/,/files/ENCFF622CAL/,/files/ENCFF128KYE/,/files/ENCFF617VLY/,/files/ENCFF934MAT/,/files/ENCFF364NIA/,/files/ENCFF021QJK/,/files/ENCFF554VOU/	/disease-series/ENCSR397ZAE/	ENCBS197KQM	1	1		Homo sapiens	adult	89 years												/replicates/ea8f8c39-dee5-4bdd-b329-49e90df0f2cb/				
/experiments/ENCSR004HIE/	ENCSR004HIE	ChIP-seq	Histone ChIP-seq	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens middle frontal area 46 tissue female adult (90 or above years)	middle frontal area 46	GEO:GSE187086	H3K27ac ChIP-seq on middle frontal area 46 tissue female adult (90 or above years).	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF959SEU/,/files/ENCFF233PCU/,/files/ENCFF545ZYN/,/files/ENCFF467ZRD/,/files/ENCFF300BFU/,/files/ENCFF238XWL/,/files/ENCFF225DCF/,/files/ENCFF347UGD/,/files/ENCFF610ZPW/,/files/ENCFF649LLS/,/files/ENCFF149KOX/,/files/ENCFF177HWC/,/files/ENCFF737XXA/,/files/ENCFF289VOQ/		ENCBS868XXM	1	2,1	ENCAB101KHB	Homo sapiens	adult	90 or above years												/replicates/9c2fff74-d742-480c-9c34-07e691a94437/,/replicates/2678eb57-f1cc-465f-901e-c03eb77117fd/				
/experiments/ENCSR832TWW/	ENCSR832TWW	ChIP-seq	TF ChIP-seq	/targets/CTCF-human/	CTCF	CTCF	Homo sapiens middle frontal area 46 tissue male adult (82 years)	middle frontal area 46	GEO:GSE188063	CTCF TF ChIP-seq on middle frontal area 46 tissue male adult (82 years).	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF139XHN/,/files/ENCFF254ZGE/,/files/ENCFF761MNM/,/files/ENCFF474DYK/,/files/ENCFF004ACO/,/files/ENCFF499FKH/,/files/ENCFF876XTE/,/files/ENCFF750CMR/,/files/ENCFF819GBL/,/files/ENCFF554FQR/,/files/ENCFF979NKQ/,/files/ENCFF923REA/,/files/ENCFF918TMK/,/files/ENCFF216SWA/,/files/ENCFF535ATM/,/files/ENCFF110LMP/,/files/ENCFF423POG/,/files/ENCFF101SIT/,/files/ENCFF483ZLP/		ENCBS145CHN	1	1,2	ENCAB719MQZ	Homo sapiens	adult	82 years												/replicates/4bb82227-2484-4403-8b88-0d96f49a2aa6/,/replicates/4f44e6a8-54e6-4991-834c-4340311b649f/				
/experiments/ENCSR688AWP/	ENCSR688AWP	DNase-seq	DNase-seq				Homo sapiens head of caudate nucleus tissue female adult (90 or above years)	head of caudate nucleus	GEO:GSE170975		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF768BUD/,/files/ENCFF812HZC/,/files/ENCFF236LZD/,/files/ENCFF917JKM/,/files/ENCFF024HII/,/files/ENCFF953GKA/,/files/ENCFF456FAG/,/files/ENCFF872AJM/,/files/ENCFF083DFD/,/files/ENCFF622GIO/,/files/ENCFF574BUM/,/files/ENCFF131UUQ/,/files/ENCFF134ECI/,/files/ENCFF359TMR/,/files/ENCFF634CTV/,/files/ENCFF176QNA/	/disease-series/ENCSR975HLS/	ENCBS405EPC	1	1		Homo sapiens	adult	90 or above years												/replicates/7ba40a6e-d6f5-40dd-a924-cff80e1e447c/				
/experiments/ENCSR334FVC/	ENCSR334FVC	ChIP-seq	Histone ChIP-seq	/targets/H3K27me3-human/	H3K27me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens middle frontal area 46 tissue female adult (90 or above years)	middle frontal area 46	GEO:GSE187071	H3K27me3 ChIP-seq on middle frontal area 46 tissue female adult (90 or above years).	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF068LJM/,/files/ENCFF713ZJF/,/files/ENCFF466DSF/,/files/ENCFF270NFL/,/files/ENCFF273ZKL/,/files/ENCFF698JXG/,/files/ENCFF703HNP/,/files/ENCFF934QWJ/,/files/ENCFF236VNB/,/files/ENCFF750UCW/,/files/ENCFF933ZID/,/files/ENCFF859SEG/,/files/ENCFF116HSA/,/files/ENCFF215KEC/		ENCBS868XXM	1	2,1	ENCAB009VWX	Homo sapiens	adult	90 or above years												/replicates/6de71d48-92cc-4468-b592-00c277248c9c/,/replicates/ebdcaf3e-7fd2-4211-a5bf-2d4bd9e820d8/				
/experiments/ENCSR807TBS/	ENCSR807TBS	ChIP-seq	Histone ChIP-seq	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens with mild cognitive impairment; middle frontal area 46 tissue female adult (87 years)	middle frontal area 46	GEO:GSE175196	H3K27ac ChIP-seq on dorsolateral prefrontal cortex tissue female adult (87 years)	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF521JII/,/files/ENCFF560XSN/,/files/ENCFF463WBZ/,/files/ENCFF869DHH/,/files/ENCFF865HGJ/,/files/ENCFF772FIS/,/files/ENCFF534BQA/,/files/ENCFF922JEM/,/files/ENCFF183OZP/,/files/ENCFF794RDI/,/files/ENCFF631NPO/,/files/ENCFF293HHY/,/files/ENCFF205LFV/,/files/ENCFF705XBU/	/disease-series/ENCSR163YED/	ENCBS401VAK	1	1,2	ENCAB101KHB	Homo sapiens	adult	87 years												/replicates/da14a8de-983a-4d49-8cf1-18dffb9691cb/,/replicates/6f699b7f-95af-4acd-bc68-747916f707b7/				
/experiments/ENCSR860UTH/	ENCSR860UTH	DNase-seq	DNase-seq				Homo sapiens head of caudate nucleus tissue male adult (86 years)	head of caudate nucleus	GEO:GSE170344		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF729YRF/,/files/ENCFF324RAZ/,/files/ENCFF943ALQ/,/files/ENCFF699ITY/,/files/ENCFF028NFY/,/files/ENCFF693ZGO/,/files/ENCFF048PBO/,/files/ENCFF749QOE/,/files/ENCFF413RLU/,/files/ENCFF096LJT/,/files/ENCFF142UYG/,/files/ENCFF057JIJ/,/files/ENCFF320LVC/,/files/ENCFF841VAU/,/files/ENCFF720PQU/,/files/ENCFF043OLR/	/disease-series/ENCSR392FDH/	ENCBS643QJE	1	1		Homo sapiens	adult	86 years												/replicates/8141155d-466b-4d5e-aa33-e093ae6ca702/				
/experiments/ENCSR271QID/	ENCSR271QID	DNase-seq	DNase-seq				Homo sapiens with mild cognitive impairment; head of caudate nucleus tissue female adult (90 or above years)	head of caudate nucleus	GEO:GSE170122		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF740WMI/,/files/ENCFF791XXH/,/files/ENCFF098ANU/,/files/ENCFF102VUQ/,/files/ENCFF580HLW/,/files/ENCFF618TJG/,/files/ENCFF751SHB/,/files/ENCFF247KMF/,/files/ENCFF045BLV/,/files/ENCFF496EHO/,/files/ENCFF720OSW/,/files/ENCFF651ZKO/,/files/ENCFF498RZG/,/files/ENCFF325ZCQ/,/files/ENCFF148BQA/,/files/ENCFF919RUN/	/disease-series/ENCSR117ZMG/	ENCBS795XRV	1	1		Homo sapiens	adult	90 or above years												/replicates/01bf6420-e02b-43dc-82f6-3720545a911f/				
/experiments/ENCSR965CIV/	ENCSR965CIV	ChIP-seq	Histone ChIP-seq	/targets/H3K4me3-human/	H3K4me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens middle frontal area 46 tissue male adult (86 years)	middle frontal area 46	GEO:GSE175341	H3K4me3 ChIP-seq on dorsolateral prefrontal cortex tissue male adult (86 years) originated from dorsolateral prefrontal cortex	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF693TDH/,/files/ENCFF018FIT/,/files/ENCFF275TNO/,/files/ENCFF775ICS/,/files/ENCFF788WNM/,/files/ENCFF723ZZV/,/files/ENCFF892CLH/,/files/ENCFF400WNY/,/files/ENCFF910MRN/,/files/ENCFF846HWV/,/files/ENCFF016RMR/,/files/ENCFF014FUG/,/files/ENCFF557GVR/,/files/ENCFF831EAA/	/disease-series/ENCSR392FDH/	ENCBS940YCN	1	1,2	ENCAB140BWE	Homo sapiens	adult	86 years												/replicates/c31f5bae-441c-42c2-8f9c-4b6030aa4f9d/,/replicates/00b00a17-8b15-4c31-9625-0ff4713c44f8/				
/experiments/ENCSR378BVM/	ENCSR378BVM	ChIP-seq	TF ChIP-seq	/targets/CTCF-human/	CTCF	CTCF	Homo sapiens with mild cognitive impairment; middle frontal area 46 tissue female adult (87 years)	middle frontal area 46	GEO:GSE187347	CTCF ChIP-seq on dorsolateral prefrontal cortex tissue female adult (87 years) originated from dorsolateral prefrontal cortex	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF783XSO/,/files/ENCFF646YVJ/,/files/ENCFF642BPT/,/files/ENCFF420WBU/,/files/ENCFF227VPL/,/files/ENCFF982AGY/,/files/ENCFF149XCQ/,/files/ENCFF363LSM/,/files/ENCFF759TJN/,/files/ENCFF696ASB/,/files/ENCFF545UIZ/,/files/ENCFF543MIR/,/files/ENCFF838BJP/,/files/ENCFF888DOQ/,/files/ENCFF949NPM/	/disease-series/ENCSR163YED/	ENCBS401VAK	1	1,2	ENCAB719MQZ	Homo sapiens	adult	87 years												/replicates/9b4020b5-946a-494d-8fca-188747454c78/,/replicates/410ac097-3981-4bd8-b105-396345d91a4a/				
